Price,Address,City,Beds,Baths,Square Feet
759000,"23269 Cherry Hills # 52, Mission Viejo, CA 92692",Mission Viejo,2.0,2.0,1257.0
949900,"2202 N Bristol Street, Santa Ana, CA 92706",Santa Ana,4.0,3.0,1816.0
679900,"13902 Yorba Street # 2b, Tustin, CA 92780",Tustin,2.0,2.0,1106.0
500000,"543 S Walnut Street # 12, La Habra, CA 90631",La Habra,2.0,2.0,1183.0
1175000,"8312 Friesland Drive, Huntington Beach, CA 92647",Huntington Beach,3.0,2.0,1232.0
1050000,"259 S Shasta Street, Orange, CA 92869",Orange,4.0,2.0,1727.0
1995000,"9972 Silver Strand Drive, Huntington Beach, CA 92646",Huntington Beach,6.0,5.0,3299.0
1349900,"190 Pacific Street, Tustin, CA 92780",Tustin,3.0,1.0,1446.0
42000000,"2928 Ocean Boulevard, Corona Del Mar, CA 92625",Corona Del Mar,6.0,10.0,9700.0
1450000,"1020 W 19th Street, Costa Mesa, CA 92627",Costa Mesa,3.0,2.0,1926.0
1300000,"2634 E Pacific Court, Brea, CA 92821",Brea,4.0,3.0,2198.0
2495000,"6972 Lawn Haven Drive, Huntington Beach, CA 92648",Huntington Beach,5.0,3.0,3068.0
689000,"24361 Conejo # 8, Laguna Hills, CA 92656",Laguna Hills,2.0,2.0,1160.0
425000,"521 S Lyon Street # 83, Santa Ana, CA 92701",Santa Ana,2.0,2.0,980.0
580000,"4010 Calle Sonora Oeste # 1a, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1257.0
7450000,"33801 Shackleton, Dana Point, CA 92629",Dana Point,3.0,3.0,2576.0
899000,"14068 Tiffany Drive, Westminster, CA 92683",Westminster,3.0,3.0,1566.0
1899999,"19162 Oriente Drive, Yorba Linda, CA 92886",Yorba Linda,4.0,3.0,3083.0
2749000,"31181 Harmony Hall Court, San Juan Capistrano, CA 92675",San Juan Capistrano,5.0,3.0,3395.0
499000,"1181 Packers Cir # 122, Tustin, CA 92780",Tustin,1.0,1.0,652.0
695000,"5805 Trinidad Way, Buena Park, CA 90620",Buena Park,3.0,2.0,1088.0
5200000,"540 Park Avenue, Laguna Beach, CA 92651",Laguna Beach,7.0,6.0,3055.0
