Price,Address,City,Beds,Baths,Square Feet
"$ 799,900","5487 Paseo Del Lago # A, Laguna Woods, CA 92637",Laguna Woods,2 bds,2 ba,1218 sqft
"$ 4,998,000","7 S Vista De Catalina, Laguna Beach, CA 92651",Laguna Beach,3 bds,2 ba,2137 sqft
"$ 975,000","317 N Starfire Street, Anaheim, CA 92807",Anaheim,3 bds,2 ba,1602 sqft
"$ 349,000","600 W 3rd Street # C202, Santa Ana, CA 92701",Santa Ana,2 bds,1 bath,864 sqft
"$ 1,138,000","12711 Trent Jones Lane, Tustin, CA 92782",Tustin,3 bds,3 ba,1848 sqft
"$ 349,000","600 W 3rd Street # A311, Santa Ana, CA 92701",Santa Ana,2 bds,1 bath,864 sqft
"$ 3,528,000","8154 Scholarship, Irvine, CA 92612",Irvine,2 bds,3 ba,2131 sqft
"$ 685,000","8021 E Brightstar Place, Anaheim Hills, CA 92808",Anaheim Hills,2 bds,2 ba,1126 sqft
"$ 625,000","10411 Garden Grove Boulevard # 33, Garden Grove, CA 92843",Garden Grove,2 bds,2 ba,1000 sqft
"$ 608,000","3340 E Collins Avenue # 1, Orange, CA 92867",Orange,2 bds,2 ba,983 sqft
"$ 1,798,000","8740 Hudson River Circle, Fountain Valley, CA 92708",Fountain Valley,5 bds,3 ba,2710 sqft
"$ 2,350,000","31911 Crestwood Place, Laguna Beach, CA 92651",Laguna Beach,2 bds,2 ba,1233 sqft
"$ 2,599,900","20 Villager, Irvine, CA 92602",Irvine,5 bds,4 ba,3614 sqft
"$ 850,000","9581 Decker Avenue, Anaheim, CA 92804",Anaheim,4 bds,2 ba,1288 sqft
"$ 75,000","24055 Paseo Del Lago # 609, Laguna Woods, CA 92637",Laguna Woods,1 bd,1 bath,625 sqft
"$ 649,000","23441 Via Alondra, Coto De Caza, CA 92679",Coto De Caza,N/A,N/A,N/A
"$ 799,900","616 Thames Way # 158, Costa Mesa, CA 92626",Costa Mesa,3 bds,3 ba,1484 sqft
"$ 3,495,000","346 Y Place, Laguna Beach, CA 92651",Laguna Beach,3 bds,3 ba,2500 sqft
"$ 1,550,000","491 S Paseo Estrella, Anaheim Hills, CA 92807",Anaheim Hills,4 bds,3 ba,2892 sqft
"$ 1,369,999","2439 E Villareal Drive, Orange, CA 92867",Orange,4 bds,2 ba,1694 sqft
"$ 810,000","5281 Victoria Place, Westminster, CA 92683",Westminster,2 bds,2 ba,1350 sqft
"$ 1,289,000","19586 Oakdale Lane, Huntington Beach, CA 92648",Huntington Beach,3 bds,3 ba,2125 sqft
"$ 1,920,000","524 12th Street, Huntington Beach, CA 92648",Huntington Beach,3 bds,3 ba,1914 sqft
"$ 1,470,000","15421 La Salle Lane, Huntington Beach, CA 92647",Huntington Beach,5 bds,4 ba,2444 sqft
"$ 2,500,000","3921 Franklin Avenue, Fullerton, CA 92833",Fullerton,11 bds,7 ba,5278 sqft
"$ 3,050,000","2112 Pacific Coast Highway, Huntington Beach, CA 44632",Huntington Beach,N/A,N/A,N/A
"$ 1,450,000","66 Autumn, Irvine, CA 92602",Irvine,4 bds,4 ba,2363 sqft
"$ 749,000","202 E Pomona Street, Santa Ana, CA 92707",Santa Ana,2 bds,1 bath,1300 sqft
"$ 1,295,000","9602 Albacore Drive, Huntington Beach, CA 92646",Huntington Beach,3 bds,2 ba,1176 sqft
"$ 1,370,000","5101 Robinwood Drive, Huntington Beach, CA 92649",Huntington Beach,4 bds,2 ba,1530 sqft
"$ 1,649,500","36 Cerrero Court, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,3 bds,3 ba,2184 sqft
"$ 1,099,808","4671 Sharon Drive, La Palma, CA 90623",La Palma,3 bds,2 ba,1800 sqft
"$ 1,180,000","854 Tia Juana Street, Laguna Beach, CA 92651",Laguna Beach,N/A,N/A,N/A
"$ 609,000","17062 Pacific Coast # 101, Huntington Beach, CA 92649",Huntington Beach,1 bd,1 bath,668 sqft
"$ 799,000","1200 Pacific Coast # 325, Huntington Beach, CA 92648",Huntington Beach,1 bd,1 bath,781 sqft
"$ 749,000","8591 Greenleaf Avenue, Buena Park, CA 90620",Buena Park,3 bds,2 ba,1300 sqft
"$ 1,569,000","1780 Anaheim Avenue, Costa Mesa, CA 92627",Costa Mesa,3 bds,2 ba,1600 sqft
"$ 1,569,000","1780 Anaheim Avenue, Costa Mesa, CA 92627",Costa Mesa,3 bds,2 ba,1600 sqft
"$ 1,249,900","2015 W Saint Anne Place, Santa Ana, CA 92704",Santa Ana,5 bds,3 ba,2185 sqft
"$ 2,000,000","1301 Fox Drive, Fullerton, CA 92835",Fullerton,4 bds,4 ba,3884 sqft
"$ 849,999","828 S Sapphire Lane, Anaheim Hills, CA 92807",Anaheim Hills,3 bds,3 ba,1549 sqft
"$ 1,889,800","1492 Voyager Drive, Tustin, CA 92782",Tustin,3 bds,3 ba,1924 sqft
"$ 965,000","44 Paseo Verde, San Clemente, CA 92673",San Clemente,3 bds,3 ba,1686 sqft
"$ 1,799,900","28 Ambito Street, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,3 bds,3 ba,2121 sqft
"$ 415,000","2805 S Fairview Street # A, Santa Ana, CA 92704",Santa Ana,1 bd,1 bath,621 sqft
"$ 524,999","8777 Coral Springs Court # 1e, Huntington Beach, CA 92646",Huntington Beach,1 bd,1 bath,817 sqft
"$ 589,800","25885 Trabuco Road # 266, Lake Forest, CA 92630",Lake Forest,2 bds,2 ba,1190 sqft
"$ 926,000","13464 Savanna, Tustin, CA 92782",Tustin,2 bds,2 ba,1114 sqft
"$ 2,600,000","4281 Uptown Newport Drive # 4, Newport Beach, CA 92660",Newport Beach,3 bds,3 ba,2052 sqft
"$ 598,888","8312 California Street, Buena Park, CA 90621",Buena Park,3 bds,2 ba,1119 sqft
"$ 1,129,800","206 Marinella Aisle, Irvine, CA 92606",Irvine,3 bds,3 ba,1347 sqft
"$ 525,000","12712 Madrid Court # 24, Garden Grove, CA 92840",Garden Grove,1 bd,1 bath,915 sqft
"$ 1,400,000","102 Okra, Irvine, CA 92618",Irvine,3 bds,3 ba,1659 sqft
"$ 1,299,000","26602 Avenida Deseo, Mission Viejo, CA 92691",Mission Viejo,4 bds,2 ba,1941 sqft
"$ 749,000","1062 S Country Glen Way, Anaheim, CA 92808",Anaheim,3 bds,3 ba,1171 sqft
"$ 619,000","243 Oahu Way, Placentia, CA 92870",Placentia,2 bds,3 ba,1270 sqft
"$ 1,888,000","159 Cadence, Irvine, CA 92618",Irvine,4 bds,3 ba,2732 sqft
"$ 785,900","13566 Cobblestone Lane, Westminster, CA 92683",Westminster,3 bds,3 ba,1378 sqft
"$ 399,000","3074 Via Serena # C, Laguna Woods, CA 92637",Laguna Woods,2 bds,1 bath,811 sqft
"$ 1,199,000","19192 Echo Pass Road, Lake Forest, CA 92679",Lake Forest,4 bds,3 ba,1776 sqft
"$ 999,000","13341 Westlake Street, Garden Grove, CA 92843",Garden Grove,3 bds,2 ba,1119 sqft
"$ 550,000","16862 Pacific Coast # 201, Huntington Beach, CA 92649",Huntington Beach,1 bd,1 bath,560 sqft
"$ 5,129,000","7 Ladbrook, Coto De Caza, CA 92679",Coto De Caza,6 bds,7 ba,5756 sqft
"$ 640,000","10212 Disney Circle, Huntington Beach, CA 92646",Huntington Beach,2 bds,1 bath,810 sqft
"$ 5,999,999","8 Venezia, Newport Coast, CA 92657",Newport Coast,5 bds,5 ba,4126 sqft
"$ 1,895,000","68 Foxtail Lane, Rancho Santa Margarita, CA 92679",Rancho Santa Margarita,5 bds,3 ba,2700 sqft
"$ 597,000","10487 W Briar Oaks Drive # C, Stanton, CA 90680",Stanton,2 bds,2 ba,1073 sqft
"$ 1,400,000","4732 Lindstrom Avenue, Irvine, CA 92604",Irvine,3 bds,2 ba,1480 sqft
"$ 635,000","25055 Calle Playa # C, Laguna Niguel, CA 92677",Laguna Niguel,1 bd,2 ba,893 sqft
"$ 3,895,000","1808 Newport Hills Drive, Newport Beach, CA 92660",Newport Beach,3 bds,2 ba,1838 sqft
"$ 769,000","1006 S Newhope Street, Santa Ana, CA 92704",Santa Ana,3 bds,1 bath,940 sqft
"$ 515,500","25671 Le Parc # 93, Lake Forest, CA 92630",Lake Forest,1 bd,1 bath,733 sqft
"$ 4,470,000","4606 Cortland Drive, Corona Del Mar, CA 92625",Corona Del Mar,3 bds,3 ba,2242 sqft
"$ 1,049,000","26746 Brandon, Mission Viejo, CA 92692",Mission Viejo,4 bds,3 ba,2041 sqft
"$ 695,000","271 Grace Avenue, La Habra, CA 90631",La Habra,3 bds,1 bath,1063 sqft
"$ 509,000","25691 View Pointe # 9b, Lake Forest, CA 92630",Lake Forest,2 bds,1 bath,957 sqft
